INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionIntTechOMvar,,,,,,
,,,,,,
region,supplysector,subsector,intermittent.technology,year,input.OM.var,OM.var
AN,electricity,solar,CSP,2010,OM-var,0
AP,electricity,solar,CSP,2010,OM-var,0
AR,electricity,solar,CSP,2010,OM-var,0
AS,electricity,solar,CSP,2010,OM-var,0
BR,electricity,solar,CSP,2010,OM-var,0
CG,electricity,solar,CSP,2010,OM-var,0
CH,electricity,solar,CSP,2010,OM-var,0
DD,electricity,solar,CSP,2010,OM-var,0
DL,electricity,solar,CSP,2010,OM-var,0
DN,electricity,solar,CSP,2010,OM-var,0
GA,electricity,solar,CSP,2010,OM-var,0
GJ,electricity,solar,CSP,2010,OM-var,0
HR,electricity,solar,CSP,2010,OM-var,0
HP,electricity,solar,CSP,2010,OM-var,0
JK,electricity,solar,CSP,2010,OM-var,0
JH,electricity,solar,CSP,2010,OM-var,0
LA,electricity,solar,CSP,2010,OM-var,0
LD,electricity,solar,CSP,2010,OM-var,0
KA,electricity,solar,CSP,2010,OM-var,0
KL,electricity,solar,CSP,2010,OM-var,0
MH,electricity,solar,CSP,2010,OM-var,0
ML,electricity,solar,CSP,2010,OM-var,0
MN,electricity,solar,CSP,2010,OM-var,0
MZ,electricity,solar,CSP,2010,OM-var,0
MP,electricity,solar,CSP,2010,OM-var,0
NL,electricity,solar,CSP,2010,OM-var,0
OD,electricity,solar,CSP,2010,OM-var,0
PB,electricity,solar,CSP,2010,OM-var,0
PC,electricity,solar,CSP,2010,OM-var,0
RJ,electricity,solar,CSP,2010,OM-var,0
SK,electricity,solar,CSP,2010,OM-var,0
TN,electricity,solar,CSP,2010,OM-var,0
TR,electricity,solar,CSP,2010,OM-var,0
TS,electricity,solar,CSP,2010,OM-var,0
UP,electricity,solar,CSP,2010,OM-var,0
UK,electricity,solar,CSP,2010,OM-var,0
WB,electricity,solar,CSP,2010,OM-var,0
AN,electricity,solar,CSP,2015,OM-var,0
AP,electricity,solar,CSP,2015,OM-var,0
AR,electricity,solar,CSP,2015,OM-var,0
AS,electricity,solar,CSP,2015,OM-var,0
BR,electricity,solar,CSP,2015,OM-var,0
CG,electricity,solar,CSP,2015,OM-var,0
CH,electricity,solar,CSP,2015,OM-var,0
DD,electricity,solar,CSP,2015,OM-var,0
DL,electricity,solar,CSP,2015,OM-var,0
DN,electricity,solar,CSP,2015,OM-var,0
GA,electricity,solar,CSP,2015,OM-var,0
GJ,electricity,solar,CSP,2015,OM-var,0
HR,electricity,solar,CSP,2015,OM-var,0
HP,electricity,solar,CSP,2015,OM-var,0
JK,electricity,solar,CSP,2015,OM-var,0
JH,electricity,solar,CSP,2015,OM-var,0
LA,electricity,solar,CSP,2015,OM-var,0
LD,electricity,solar,CSP,2015,OM-var,0
KA,electricity,solar,CSP,2015,OM-var,0
KL,electricity,solar,CSP,2015,OM-var,0
MH,electricity,solar,CSP,2015,OM-var,0
ML,electricity,solar,CSP,2015,OM-var,0
MN,electricity,solar,CSP,2015,OM-var,0
MZ,electricity,solar,CSP,2015,OM-var,0
MP,electricity,solar,CSP,2015,OM-var,0
NL,electricity,solar,CSP,2015,OM-var,0
OD,electricity,solar,CSP,2015,OM-var,0
PB,electricity,solar,CSP,2015,OM-var,0
PC,electricity,solar,CSP,2015,OM-var,0
RJ,electricity,solar,CSP,2015,OM-var,0
SK,electricity,solar,CSP,2015,OM-var,0
TN,electricity,solar,CSP,2015,OM-var,0
TR,electricity,solar,CSP,2015,OM-var,0
TS,electricity,solar,CSP,2015,OM-var,0
UP,electricity,solar,CSP,2015,OM-var,0
UK,electricity,solar,CSP,2015,OM-var,0
WB,electricity,solar,CSP,2015,OM-var,0
AN,electricity,solar,CSP,2020,OM-var,0
AP,electricity,solar,CSP,2020,OM-var,0
AR,electricity,solar,CSP,2020,OM-var,0
AS,electricity,solar,CSP,2020,OM-var,0
BR,electricity,solar,CSP,2020,OM-var,0
CG,electricity,solar,CSP,2020,OM-var,0
CH,electricity,solar,CSP,2020,OM-var,0
DD,electricity,solar,CSP,2020,OM-var,0
DL,electricity,solar,CSP,2020,OM-var,0
DN,electricity,solar,CSP,2020,OM-var,0
GA,electricity,solar,CSP,2020,OM-var,0
GJ,electricity,solar,CSP,2020,OM-var,0
HR,electricity,solar,CSP,2020,OM-var,0
HP,electricity,solar,CSP,2020,OM-var,0
JK,electricity,solar,CSP,2020,OM-var,0
JH,electricity,solar,CSP,2020,OM-var,0
LA,electricity,solar,CSP,2020,OM-var,0
LD,electricity,solar,CSP,2020,OM-var,0
KA,electricity,solar,CSP,2020,OM-var,0
KL,electricity,solar,CSP,2020,OM-var,0
MH,electricity,solar,CSP,2020,OM-var,0
ML,electricity,solar,CSP,2020,OM-var,0
MN,electricity,solar,CSP,2020,OM-var,0
MZ,electricity,solar,CSP,2020,OM-var,0
MP,electricity,solar,CSP,2020,OM-var,0
NL,electricity,solar,CSP,2020,OM-var,0
OD,electricity,solar,CSP,2020,OM-var,0
PB,electricity,solar,CSP,2020,OM-var,0
PC,electricity,solar,CSP,2020,OM-var,0
RJ,electricity,solar,CSP,2020,OM-var,0
SK,electricity,solar,CSP,2020,OM-var,0
TN,electricity,solar,CSP,2020,OM-var,0
TR,electricity,solar,CSP,2020,OM-var,0
TS,electricity,solar,CSP,2020,OM-var,0
UP,electricity,solar,CSP,2020,OM-var,0
UK,electricity,solar,CSP,2020,OM-var,0
WB,electricity,solar,CSP,2020,OM-var,0
AN,electricity,solar,CSP,2025,OM-var,3.023893939
AP,electricity,solar,CSP,2025,OM-var,3.023893939
AR,electricity,solar,CSP,2025,OM-var,3.023893939
AS,electricity,solar,CSP,2025,OM-var,3.023893939
BR,electricity,solar,CSP,2025,OM-var,3.023893939
CG,electricity,solar,CSP,2025,OM-var,3.023893939
CH,electricity,solar,CSP,2025,OM-var,3.023893939
DD,electricity,solar,CSP,2025,OM-var,3.023893939
DL,electricity,solar,CSP,2025,OM-var,3.023893939
DN,electricity,solar,CSP,2025,OM-var,3.023893939
GA,electricity,solar,CSP,2025,OM-var,3.023893939
GJ,electricity,solar,CSP,2025,OM-var,3.023893939
HR,electricity,solar,CSP,2025,OM-var,3.023893939
HP,electricity,solar,CSP,2025,OM-var,3.023893939
JK,electricity,solar,CSP,2025,OM-var,3.023893939
JH,electricity,solar,CSP,2025,OM-var,3.023893939
LA,electricity,solar,CSP,2025,OM-var,3.023893939
LD,electricity,solar,CSP,2025,OM-var,3.023893939
KA,electricity,solar,CSP,2025,OM-var,3.023893939
KL,electricity,solar,CSP,2025,OM-var,3.023893939
MH,electricity,solar,CSP,2025,OM-var,3.023893939
ML,electricity,solar,CSP,2025,OM-var,3.023893939
MN,electricity,solar,CSP,2025,OM-var,3.023893939
MZ,electricity,solar,CSP,2025,OM-var,3.023893939
MP,electricity,solar,CSP,2025,OM-var,3.023893939
NL,electricity,solar,CSP,2025,OM-var,3.023893939
OD,electricity,solar,CSP,2025,OM-var,3.023893939
PB,electricity,solar,CSP,2025,OM-var,3.023893939
PC,electricity,solar,CSP,2025,OM-var,3.023893939
RJ,electricity,solar,CSP,2025,OM-var,3.023893939
SK,electricity,solar,CSP,2025,OM-var,3.023893939
TN,electricity,solar,CSP,2025,OM-var,3.023893939
TR,electricity,solar,CSP,2025,OM-var,3.023893939
TS,electricity,solar,CSP,2025,OM-var,3.023893939
